YearMonth,사용일자,total,Year,Month
201601,2499854384,5332409,249984,124
201602,2338584940,4845447,233856,232
201603,2499879184,5546204,249984,372
201604,2419249860,5284692,241920,480
201605,2499903984,5393646,249984,620
201606,2419273860,5114724,241920,720
201607,2499928784,5263522,249984,868
201608,2499941184,5010181,249984,992
201609,2419309860,4792346,241920,1080
201610,2499965984,5249631,249984,1240
201611,2419333860,5425777,241920,1320
201612,2499990784,5642328,249984,1488
201701,2501094384,4923094,250108,124
201702,2259064024,5048576,225904,224
201703,2501119184,5601549,250108,372
201704,2420449860,5127351,242040,480
201705,2501143984,5149537,250108,620
201706,2420473860,5038163,242040,720
201707,2501168784,5086000,250108,868
201708,2501181184,5015831,250108,992
201709,2420509860,5204596,242040,1080
201710,2501205984,4863166,250108,1240
201711,2420533860,5289584,242040,1320
201712,2501230784,5459912,250108,1488
201801,2502334384,5147582,250232,124
201802,2260184024,4499258,226016,224
201803,2502359184,5506607,250232,372
201804,2421649860,5176933,242160,480
201805,2502383984,5451202,250232,620
201806,2421673860,5085462,242160,720
201807,2502408784,5176094,250232,868
201808,2502421184,4943260,250232,992
201809,2421709860,4817957,242160,1080
201810,2502445984,5480003,250232,1240
201811,2421733860,5376642,242160,1320
201812,2502470784,5538207,250232,1488
201901,2503574384,5736739,250356,124
201902,2261304024,4887660,226128,224
201903,2503599184,5630236,250356,372
201904,2422849860,5490208,242280,480
201905,2503623984,5731940,250356,620
201906,2422873860,5241836,242280,720
201907,2503648784,5465293,250356,868
201908,2503661184,5272614,250356,992
201909,2422909860,4883982,242280,1080
201910,2503685984,5699599,250356,1240
201911,2422933860,5378505,242280,1320
201912,2503710784,5701188,250356,1488
202001,2504814384,5102452,250480,124
202002,2343224940,3795076,234320,232
202003,2504839184,2991541,250480,372
202004,2424049860,3287030,242400,480
202006,2424073860,3717880,242400,720
202007,2504888784,4133748,250480,868
202008,2504901184,3269373,250480,992
202010,2504925984,3576083,250480,1240
202011,2424133860,3546408,242400,1320
202012,2504950784,2713135,250480,1488
202101,2506054384,2761176,250604,124
202102,2263544024,2954315,226352,224
202103,2506079184,3764297,250604,372
202104,2425249860,3671382,242520,480
202105,2506103984,3679172,250604,620
202106,2425273860,3744736,242520,720
202107,2506128784,3293514,250604,868
202108,2506141184,3186544,250604,992
